timestampUtc,name,cpuPercent,memoryUsage,memoryPercent,pids
2026-08-06T05:41:31.2513011Z,doeng-exp148-d-flux-corrected-1,199.22%,2.264GiB / 3GiB,75.46%,33
2026-08-06T05:41:31.2513011Z,doeng-exp148-d-mariadb-1,14.66%,86.19MiB / 1GiB,8.42%,24
2026-08-06T05:41:31.2513011Z,doeng-exp148-d-experiment-mock-1,115.73%,336.9MiB / 1GiB,32.90%,14
2026-08-06T05:41:34.4587721Z,doeng-exp148-d-flux-corrected-1,101.18%,2.228GiB / 3GiB,74.28%,33
2026-08-06T05:41:34.4587721Z,doeng-exp148-d-mariadb-1,4.20%,85.93MiB / 1GiB,8.39%,24
2026-08-06T05:41:34.4587721Z,doeng-exp148-d-experiment-mock-1,39.01%,214.1MiB / 1GiB,20.91%,7
2026-08-06T05:41:37.6535189Z,doeng-exp148-d-flux-corrected-1,9.54%,2.227GiB / 3GiB,74.22%,33
2026-08-06T05:41:37.6535189Z,doeng-exp148-d-mariadb-1,0.01%,85.97MiB / 1GiB,8.40%,24
2026-08-06T05:41:37.6535189Z,doeng-exp148-d-experiment-mock-1,2.21%,213.6MiB / 1GiB,20.86%,7
2026-08-06T05:41:40.8734512Z,doeng-exp148-d-flux-corrected-1,7.03%,2.217GiB / 3GiB,73.90%,33
2026-08-06T05:41:40.8734512Z,doeng-exp148-d-mariadb-1,0.09%,86.27MiB / 1GiB,8.43%,24
2026-08-06T05:41:40.8734512Z,doeng-exp148-d-experiment-mock-1,2.63%,213MiB / 1GiB,20.80%,7
2026-08-06T05:41:44.0831366Z,doeng-exp148-d-flux-corrected-1,6.04%,2.217GiB / 3GiB,73.92%,33
2026-08-06T05:41:44.0831366Z,doeng-exp148-d-mariadb-1,0.04%,85.98MiB / 1GiB,8.40%,24
2026-08-06T05:41:44.0831366Z,doeng-exp148-d-experiment-mock-1,35.30%,213.5MiB / 1GiB,20.85%,7
2026-08-06T05:41:47.2998652Z,doeng-exp148-d-flux-corrected-1,4.47%,2.217GiB / 3GiB,73.91%,33
2026-08-06T05:41:47.2998652Z,doeng-exp148-d-mariadb-1,0.02%,86MiB / 1GiB,8.40%,24
2026-08-06T05:41:47.2998652Z,doeng-exp148-d-experiment-mock-1,50.64%,206.3MiB / 1GiB,20.15%,7
2026-08-06T05:41:50.5307887Z,doeng-exp148-d-flux-corrected-1,2.38%,2.217GiB / 3GiB,73.91%,33
2026-08-06T05:41:50.5307887Z,doeng-exp148-d-mariadb-1,3.61%,86.08MiB / 1GiB,8.41%,24
2026-08-06T05:41:50.5307887Z,doeng-exp148-d-experiment-mock-1,0.74%,205.8MiB / 1GiB,20.10%,7
2026-08-06T05:41:53.7599742Z,doeng-exp148-d-flux-corrected-1,8.56%,2.218GiB / 3GiB,73.92%,33
2026-08-06T05:41:53.7599742Z,doeng-exp148-d-mariadb-1,0.04%,86MiB / 1GiB,8.40%,24
2026-08-06T05:41:53.7599742Z,doeng-exp148-d-experiment-mock-1,35.99%,206.1MiB / 1GiB,20.12%,7
2026-08-06T05:41:56.9723046Z,doeng-exp148-d-flux-corrected-1,7.80%,2.217GiB / 3GiB,73.91%,33
2026-08-06T05:41:56.9723046Z,doeng-exp148-d-mariadb-1,0.01%,85.98MiB / 1GiB,8.40%,24
2026-08-06T05:41:56.9723046Z,doeng-exp148-d-experiment-mock-1,26.59%,205.9MiB / 1GiB,20.10%,7
2026-08-06T05:42:00.1631873Z,doeng-exp148-d-flux-corrected-1,3.02%,2.218GiB / 3GiB,73.92%,33
2026-08-06T05:42:00.1631873Z,doeng-exp148-d-mariadb-1,0.02%,85.98MiB / 1GiB,8.40%,24
2026-08-06T05:42:00.1631873Z,doeng-exp148-d-experiment-mock-1,37.25%,206.3MiB / 1GiB,20.15%,7
2026-08-06T05:42:03.1919965Z,doeng-exp148-d-flux-corrected-1,3.32%,2.218GiB / 3GiB,73.93%,33
2026-08-06T05:42:03.1919965Z,doeng-exp148-d-mariadb-1,0.03%,85.99MiB / 1GiB,8.40%,24
2026-08-06T05:42:03.1919965Z,doeng-exp148-d-experiment-mock-1,0.00%,206.1MiB / 1GiB,20.13%,7
2026-08-06T05:42:06.4115942Z,doeng-exp148-d-flux-corrected-1,9.76%,2.218GiB / 3GiB,73.92%,33
2026-08-06T05:42:06.4115942Z,doeng-exp148-d-mariadb-1,0.03%,85.98MiB / 1GiB,8.40%,24
2026-08-06T05:42:06.4115942Z,doeng-exp148-d-experiment-mock-1,0.00%,205.7MiB / 1GiB,20.09%,7
2026-08-06T05:42:09.6243759Z,doeng-exp148-d-flux-corrected-1,0.57%,2.218GiB / 3GiB,73.93%,33
2026-08-06T05:42:09.6243759Z,doeng-exp148-d-mariadb-1,0.03%,85.98MiB / 1GiB,8.40%,24
2026-08-06T05:42:09.6243759Z,doeng-exp148-d-experiment-mock-1,3.90%,207.8MiB / 1GiB,20.29%,8
