timestampUtc,name,cpuPercent,memoryUsage,memoryPercent,pids
2026-08-06T05:37:23.9480604Z,doeng-exp148-p-experiment-mock-1,0.43%,128.5MiB / 1GiB,12.55%,7
2026-08-06T05:37:27.1938217Z,doeng-exp148-p-flux-corrected-1,2.61%,2.283GiB / 3GiB,76.08%,34
2026-08-06T05:37:27.1938217Z,doeng-exp148-p-mariadb-1,0.04%,86.21MiB / 1GiB,8.42%,25
2026-08-06T05:37:27.1938217Z,doeng-exp148-p-experiment-mock-1,32.18%,173.9MiB / 1GiB,16.99%,14
2026-08-06T05:37:30.2152685Z,doeng-exp148-p-flux-corrected-1,3.47%,2.282GiB / 3GiB,76.07%,34
2026-08-06T05:37:30.2152685Z,doeng-exp148-p-mariadb-1,0.03%,86.23MiB / 1GiB,8.42%,25
2026-08-06T05:37:30.2152685Z,doeng-exp148-p-experiment-mock-1,0.72%,127.4MiB / 1GiB,12.45%,7
2026-08-06T05:37:33.4329003Z,doeng-exp148-p-flux-corrected-1,3.03%,2.283GiB / 3GiB,76.09%,34
2026-08-06T05:37:33.4329003Z,doeng-exp148-p-mariadb-1,0.02%,86.23MiB / 1GiB,8.42%,25
2026-08-06T05:37:33.4329003Z,doeng-exp148-p-experiment-mock-1,0.00%,127.6MiB / 1GiB,12.46%,7
2026-08-06T05:37:36.6276271Z,doeng-exp148-p-flux-corrected-1,2.87%,2.283GiB / 3GiB,76.10%,34
2026-08-06T05:37:36.6276271Z,doeng-exp148-p-mariadb-1,0.03%,86.21MiB / 1GiB,8.42%,24
2026-08-06T05:37:36.6276271Z,doeng-exp148-p-experiment-mock-1,0.02%,127.9MiB / 1GiB,12.49%,7
2026-08-06T05:37:39.7789167Z,doeng-exp148-p-flux-corrected-1,3.91%,2.282GiB / 3GiB,76.08%,34
2026-08-06T05:37:39.7789167Z,doeng-exp148-p-mariadb-1,4.44%,86.19MiB / 1GiB,8.42%,24
2026-08-06T05:37:39.7789167Z,doeng-exp148-p-experiment-mock-1,0.03%,127.4MiB / 1GiB,12.44%,7
2026-08-06T05:37:42.9652832Z,doeng-exp148-p-flux-corrected-1,3.41%,2.283GiB / 3GiB,76.09%,34
2026-08-06T05:37:42.9652832Z,doeng-exp148-p-mariadb-1,0.03%,86.19MiB / 1GiB,8.42%,24
2026-08-06T05:37:42.9652832Z,doeng-exp148-p-experiment-mock-1,0.00%,127.6MiB / 1GiB,12.46%,7
