flux-corrected-1  | 2026-08-07T13:29:01.519582734Z Picked up JAVA_TOOL_OPTIONS: -Xms512m -Xmx2g -XX:+UseG1GC
flux-corrected-1  | 2026-08-07T13:29:18.256003367Z 2026-08-07 22:29:18.255  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u4-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4644
flux-corrected-1  | 2026-08-07T13:29:18.335598810Z 2026-08-07 22:29:18.335  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u20-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4431
flux-corrected-1  | 2026-08-07T13:29:18.448440775Z 2026-08-07 22:29:18.447  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u3-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4839
flux-corrected-1  | 2026-08-07T13:29:18.545993603Z 2026-08-07 22:29:18.544  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u34-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4593
flux-corrected-1  | 2026-08-07T13:29:18.727251693Z 2026-08-07 22:29:18.726  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u6-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4885
flux-corrected-1  | 2026-08-07T13:29:18.727580937Z 2026-08-07 22:29:18.727  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u15-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4875
flux-corrected-1  | 2026-08-07T13:29:18.735596669Z 2026-08-07 22:29:18.735  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u61-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4600
flux-corrected-1  | 2026-08-07T13:29:18.735832175Z 2026-08-07 22:29:18.735  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u17-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4787
flux-corrected-1  | 2026-08-07T13:29:18.736698291Z 2026-08-07 22:29:18.736  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u57-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4694
flux-corrected-1  | 2026-08-07T13:29:18.739118403Z 2026-08-07 22:29:18.738  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u13-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4800
flux-corrected-1  | 2026-08-07T13:29:18.762336799Z 2026-08-07 22:29:18.761  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u111-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4429
flux-corrected-1  | 2026-08-07T13:29:18.827211277Z 2026-08-07 22:29:18.826  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u43-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4868
flux-corrected-1  | 2026-08-07T13:29:18.829725432Z 2026-08-07 22:29:18.827  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u2-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5220
flux-corrected-1  | 2026-08-07T13:29:18.829745405Z 2026-08-07 22:29:18.828  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u31-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4889
flux-corrected-1  | 2026-08-07T13:29:18.829747256Z 2026-08-07 22:29:18.828  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u51-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4865
flux-corrected-1  | 2026-08-07T13:29:18.829748567Z 2026-08-07 22:29:18.829  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u55-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4862
flux-corrected-1  | 2026-08-07T13:29:18.928476517Z 2026-08-07 22:29:18.927  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u16-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5025
flux-corrected-1  | 2026-08-07T13:29:18.932822158Z 2026-08-07 22:29:18.931  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u24-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5025
flux-corrected-1  | 2026-08-07T13:29:18.947589722Z 2026-08-07 22:29:18.933  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u28-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4999
flux-corrected-1  | 2026-08-07T13:29:18.950167424Z 2026-08-07 22:29:18.949  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u32-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5012
flux-corrected-1  | 2026-08-07T13:29:18.954037865Z 2026-08-07 22:29:18.950  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u7-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5120
flux-corrected-1  | 2026-08-07T13:29:18.954084614Z 2026-08-07 22:29:18.951  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u72-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4799
flux-corrected-1  | 2026-08-07T13:29:18.955477986Z 2026-08-07 22:29:18.955  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u36-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5006
flux-corrected-1  | 2026-08-07T13:29:19.039880596Z 2026-08-07 22:29:19.039  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u18-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5186
flux-corrected-1  | 2026-08-07T13:29:19.043040126Z 2026-08-07 22:29:19.042  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u66-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4866
flux-corrected-1  | 2026-08-07T13:29:19.042476649Z 2026-08-07 22:29:19.044  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u46-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5078
flux-corrected-1  | 2026-08-07T13:29:19.127625341Z 2026-08-07 22:29:19.127  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u5-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5299
flux-corrected-1  | 2026-08-07T13:29:19.135809408Z 2026-08-07 22:29:19.133  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u78-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4804
flux-corrected-1  | 2026-08-07T13:29:19.142239696Z 2026-08-07 22:29:19.140  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u38-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5183
flux-corrected-1  | 2026-08-07T13:29:19.223988188Z 2026-08-07 22:29:19.223  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u14-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5376
flux-corrected-1  | 2026-08-07T13:29:19.731125943Z 2026-08-07 22:29:19.725  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u8-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5888
flux-corrected-1  | 2026-08-07T13:29:19.731175684Z 2026-08-07 22:29:19.728  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u40-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5777
flux-corrected-1  | 2026-08-07T13:29:19.731178701Z 2026-08-07 22:29:19.729  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u80-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5387
flux-corrected-1  | 2026-08-07T13:29:19.743244433Z 2026-08-07 22:29:19.742  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u11-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5898
flux-corrected-1  | 2026-08-07T13:29:19.744108386Z 2026-08-07 22:29:19.743  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u44-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5788
flux-corrected-1  | 2026-08-07T13:29:19.826096795Z 2026-08-07 22:29:19.825  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u12-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5983
flux-corrected-1  | 2026-08-07T13:29:19.827709243Z 2026-08-07 22:29:19.825  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u39-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5877
flux-corrected-1  | 2026-08-07T13:29:19.827743660Z 2026-08-07 22:29:19.826  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u60-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5683
flux-corrected-1  | 2026-08-07T13:29:19.827745819Z 2026-08-07 22:29:19.826  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u63-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5700
flux-corrected-1  | 2026-08-07T13:29:19.827747096Z 2026-08-07 22:29:19.827  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u88-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5480
flux-corrected-1  | 2026-08-07T13:29:19.831654393Z 2026-08-07 22:29:19.831  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u65-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5697
flux-corrected-1  | 2026-08-07T13:29:19.832158672Z 2026-08-07 22:29:19.831  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u27-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5900
flux-corrected-1  | 2026-08-07T13:29:19.833965298Z 2026-08-07 22:29:19.833  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u83-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5585
flux-corrected-1  | 2026-08-07T13:29:19.834062178Z 2026-08-07 22:29:19.833  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u47-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5875
flux-corrected-1  | 2026-08-07T13:29:19.836817599Z 2026-08-07 22:29:19.836  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u69-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5697
flux-corrected-1  | 2026-08-07T13:29:19.838482519Z 2026-08-07 22:29:19.838  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u67-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5710
flux-corrected-1  | 2026-08-07T13:29:19.838703249Z 2026-08-07 22:29:19.838  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u119-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5410
flux-corrected-1  | 2026-08-07T13:29:19.838717678Z 2026-08-07 22:29:19.838  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u91-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5587
flux-corrected-1  | 2026-08-07T13:29:19.839110421Z 2026-08-07 22:29:19.838  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u105-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5591
flux-corrected-1  | 2026-08-07T13:29:19.839591232Z 2026-08-07 22:29:19.839  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u29-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5879
flux-corrected-1  | 2026-08-07T13:29:19.839619341Z 2026-08-07 22:29:19.838  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u19-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5938
flux-corrected-1  | 2026-08-07T13:29:19.839802125Z 2026-08-07 22:29:19.839  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u23-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5937
flux-corrected-1  | 2026-08-07T13:29:19.842780863Z 2026-08-07 22:29:19.839  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u35-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5900
flux-corrected-1  | 2026-08-07T13:29:19.842802356Z 2026-08-07 22:29:19.839  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u123-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5410
flux-corrected-1  | 2026-08-07T13:29:19.844599453Z 2026-08-07 22:29:19.841  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u101-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5597
flux-corrected-1  | 2026-08-07T13:29:19.844639645Z 2026-08-07 22:29:19.843  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u97-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5602
flux-corrected-1  | 2026-08-07T13:29:19.849594931Z 2026-08-07 22:29:19.849  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u73-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5708
flux-corrected-1  | 2026-08-07T13:29:19.849911844Z 2026-08-07 22:29:19.849  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u41-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5873
flux-corrected-1  | 2026-08-07T13:29:19.850899256Z 2026-08-07 22:29:19.850  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u21-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5900
flux-corrected-1  | 2026-08-07T13:29:19.924011968Z 2026-08-07 22:29:19.923  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u9-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5992
flux-corrected-1  | 2026-08-07T13:29:19.942633529Z 2026-08-07 22:29:19.941  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u25-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5989
flux-corrected-1  | 2026-08-07T13:29:19.948063719Z 2026-08-07 22:29:19.947  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u37-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=5982
flux-corrected-1  | 2026-08-07T13:29:20.028871521Z 2026-08-07 22:29:20.028  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u54-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=6049
flux-corrected-1  | 2026-08-07T13:29:20.028977582Z 2026-08-07 22:29:20.028  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u58-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=6002
